name,transect,bg
jai3,14,14.5
jai3,14,6.5
jai3,14,2.5
jai3,14,3.3
jai3,14,2.4
jai4,15,15.2
jai4,15,5.7
jai4,15,1.3
jai4,15,0.1
jai4,15,4.2
jai4,15,8
jai4,15,2.1
jai4,15,4.7
jai4,15,1.6
jai4,16,6.3
jai4,16,6.9
jai4,16,6.5
jai4,16,5
jai4,16,5.5
jai4,16,0.3
jai4,16,0.2
jai4,16,7.4
jai4,16,1.7
jai4,16,1.6
jai4,17,1.2
jai4,17,2.4
jai4,17,5.2
jai4,17,1.1
jai4,17,0.3
jai4,17,2.3
jai4,17,4.2
jai4,17,6
jai4,17,10.4
jai4,17,1.3
jai4,17,8.5
jai4,17,2.4
jai4,18,2
jai4,18,1.1
jai4,18,4.5
jai4,18,2.9
jai4,18,3.7
jai4,18,0.6
jai4,18,4.9
jai4,18,0.7
jai4,18,2.6
jai4,18,0.2
jai4,18,0.9
jai4,18,3.4
jai4,18,2
jai4,18,0.1
jai4,18,1
jai4,18,2.9
jai4,18,1.8
bik1,19,0.3
bik1,19,2.2
bik1,19,1.3
bik1,19,0.2
bik1,19,2
bik1,19,0.3
bik1,19,0.4
bik1,19,4.1
bik1,19,5.9
bik1,19,0.4
bik1,19,1.2
bik1,19,0.4
bik1,19,2.7
bik1,19,1.6
bik1,19,6.4
bik1,19,1.5
bik1,19,2.9
bik1,19,0.8
bik1,19,0.8
bik1,20,0.5
bik1,20,0.3
bik1,20,0.7
bik1,20,1.2
bik1,20,0.4
bik1,20,0.1
bik1,20,1.5
bik1,20,0.9
bik1,20,1.9
bik1,20,2.2
bik1,20,2
bik1,20,0.2
bik1,20,0.6
bik1,20,3.4
bik1,20,3.1
bik1,20,0.3
bik1,20,4.9
bik1,20,4.3
bik1,20,0.2
bik1,20,2.3
bik1,20,0.2
bik1,20,3.5
bik1,20,0.8
bik1,20,1
bik1,20,0.7
bik1,21,2.3
bik1,21,1.7
bik1,21,1.7
bik1,21,5.9
bik1,21,0.3
bik1,21,3.6
bik1,21,6.8
bik1,21,0.2
bik1,21,0.3
bik1,21,1.3
bik1,21,5.5
bik1,21,7.9
bik1,21,6.9
bik1,21,2.3
bik1,21,0.3
bik1,21,0.9
bik1,22,2.8
bik1,22,1.3
bik1,22,0.3
bik1,22,7.4
bik1,22,3.1
bik1,22,4.4
bik1,22,2.8
bik1,22,9.3
bik1,22,4.8
bik1,22,8.2
bik2,23,5
bik2,23,0.8
bik2,23,3.8
bik2,23,6.1
bik2,23,0.3
bik2,23,0.4
bik2,23,0.6
bik2,23,0.4
bik2,23,0.7
bik2,23,0.7
bik2,23,0.3
bik2,23,2.5
bik2,23,1.6
bik2,23,0.9
bik2,23,1.3
bik2,23,0.7
bik2,23,0.7
bik2,23,0.2
bik2,23,1.5
bik2,23,0.7
bik2,23,0.7
bik2,23,0.9
bik2,23,2.3
bik2,23,0.1
bik2,23,3.3
bik2,23,3.3
bik2,24,1.1
bik2,24,2.3
bik2,24,0.5
bik2,24,0.5
bik2,24,0.4
bik2,24,0.5
bik2,24,2.2
bik2,24,0.8
bik2,24,3.6
bik2,24,0.6
bik2,24,1.4
bik2,24,1
bik2,24,0.2
bik2,24,3.7
bik2,24,1
bik2,24,2.9
bik2,24,1.1
bik2,24,1.4
bik2,24,1.8
bik2,24,0.1
bik2,24,0.1
bik2,24,0.5
bik2,24,1.8
bik2,24,0.1
bik2,24,1.8
bik2,24,0.5
bik2,24,1.1
bik2,24,3.6
bik2,24,0.5
bik2,24,3
bik4,25,0.9
bik4,25,2
bik4,25,0.2
bik4,25,2.7
bik4,25,4.5
bik4,25,0.1
bik4,25,3.4
bik4,25,5.3
bik4,25,0.4
bik4,25,0.1
bik4,25,2.5
bik4,25,2.4
bik4,25,3.1
bik4,25,5.2
bik4,25,0.3
bik4,25,2.3
bik4,25,0.7
bik4,25,1.1
bik4,25,0.1
bik4,25,2.9
bik4,25,2.8
bik4,25,0.7
bik4,25,0.7
bik4,25,1.3
bik4,25,0.3
bik4,25,0.3
bik4,25,0.4
bik4,25,0.4
bik4,26,4.6
bik4,26,0.4
bik4,26,0.7
bik4,26,2.1
bik4,26,0.3
bik4,26,0.7
bik4,26,0.3
bik4,26,0.2
bik4,26,0.7
bik4,26,0.5
bik4,26,0.1
bik4,26,0.4
bik4,26,6.9
bik4,26,1.2
bik4,26,5.3
bik4,26,0.7
bik4,26,2.1
bik4,26,0.4
bik4,26,1.1
bik4,26,0.3
bik4,26,3.9
bik4,26,1.2
bik4,26,1.9
bik4,26,0.1
bik4,26,1.5
bik4,26,0.1
bik4,26,0.7
bik4,26,0.2
bik4,26,0.3
