Seed,Nest,Ini,Species,Speciesd,Day,Mon,Status
5,33GH14,14,AM,AM,105,11,1
6,33GH14,14,AM,AM,108,12,1
7,33GH14,14,AM,AM,108,12,1
8,33GH14,14,AM,AM,111,13,1
9,33GH14,14,AM,AM,111,13,1
10,33GH14,14,AM,AM,111,13,1
11,33GH14,14,AM,AM,111,13,1
12,33GH14,14,AM,AM,111,13,1
13,33GH14,14,AM,AM,111,13,0
14,33GH14,14,AM,AM,111,13,0
1,7WH13,20,AM,AM,79,2,1
2,7WH13,20,AM,AM,79,2,1
3,7WH13,20,AM,AM,81,3,1
4,7WH13,20,AM,AM,81,3,1
5,7WH13,20,AM,AM,81,3,1
6,7WH13,20,AM,AM,81,3,1
7,7WH13,20,AM,AM,81,3,1
8,7WH13,20,AM,AM,81,3,1
9,7WH13,20,AM,AM,81,3,1
10,7WH13,20,AM,AM,81,3,1
11,7WH13,20,AM,AM,81,3,1
12,7WH13,20,AM,AM,81,3,1
13,7WH13,20,AM,AM,81,3,1
14,7WH13,20,AM,AM,81,3,1
15,7WH13,20,AM,AM,81,3,1
16,7WH13,20,AM,AM,81,3,1
17,7WH13,20,AM,AM,81,3,1
18,7WH13,20,AM,AM,81,3,1
19,7WH13,20,AM,AM,81,3,1
20,7WH13,20,AM,AM,81,3,1
1,9WH05,20,AM,AM,79,2,1
2,9WH05,20,AM,AM,79,2,1
3,9WH05,20,AM,AM,79,2,1
4,9WH05,20,AM,AM,79,2,1
5,9WH05,20,AM,AM,79,2,1
6,9WH05,20,AM,AM,79,2,1
7,9WH05,20,AM,AM,79,2,1
8,9WH05,20,AM,AM,79,2,1
9,9WH05,20,AM,AM,79,2,1
10,9WH05,20,AM,AM,79,2,1
11,9WH05,20,AM,AM,79,2,1
12,9WH05,20,AM,AM,79,2,1
13,9WH05,20,AM,AM,79,2,1
14,9WH05,20,AM,AM,79,2,1
15,9WH05,20,AM,AM,79,2,1
16,9WH05,20,AM,AM,79,2,1
17,9WH05,20,AM,AM,81,3,1
18,9WH05,20,AM,AM,81,3,1
19,9WH05,20,AM,AM,81,3,1
20,9WH05,20,AM,AM,81,3,1
1,1WH01,20,AM,AM,84,4,1
2,1WH01,20,AM,AM,87,5,1
3,1WH01,20,AM,AM,87,5,1
4,1WH01,20,AM,AM,87,5,1
5,1WH01,20,AM,AM,90,6,1
6,1WH01,20,AM,AM,90,6,1
7,1WH01,20,AM,AM,90,6,1
8,1WH01,20,AM,AM,90,6,1
9,1WH01,20,AM,AM,90,6,1
10,1WH01,20,AM,AM,90,6,1
11,1WH01,20,AM,AM,93,7,1
12,1WH01,20,AM,AM,93,7,1
13,1WH01,20,AM,AM,99,9,1
