sp1_name,sp2_name,sp1_inc,sp2_inc,obs_cooccur,exp_cooccur,prob_cooccur,p_lt,p_gt,,,,,,
TS1.2,FS5.2,15,8,0,1.2,0.013,0.24256,1,,,,,,
TS1.2,FS6,15,21,6,3.3,0.034,0.98141,0.07069,,,,,,
TS1.2,ND,15,9,3,1.4,0.015,0.96883,0.14507,,,,,,
TS1.2,SS1,15,11,2,1.7,0.018,0.7676,0.54302,,,,,,
TS1.2,SS2,15,11,1,1.7,0.018,0.45698,0.86252,,,,,,
TS1.2,SS3,15,7,2,1.1,0.011,0.92587,0.29984,,,,,,
TS1.2,FW1,15,50,9,7.8,0.081,0.82852,0.35088,,,,,,
TS1.2,FW3,15,16,4,2.5,0.026,0.92795,0.21782,,,,,,
TS1.2,FWND1,15,29,3,4.5,0.047,0.27059,0.89692,,,,,,
TS1.2,FWND2,15,45,10,7,0.073,0.97525,0.08204,,,,,,
TS1.2,FWND3,15,38,6,5.9,0.062,0.63107,0.59366,,,,,,
TS1.2,FWND4,15,7,1,1.1,0.011,0.70016,0.70827,,,,,,
TS1.2,T1,15,9,1,1.4,0.015,0.57333,0.79878,,,,,,
TS1.2,T2,15,49,9,7.7,0.08,0.85005,0.31858,,,,,,
TS1.2,T3,15,9,1,1.4,0.015,0.57333,0.79878,,,,,,
TS1.2,TND,15,11,2,1.7,0.018,0.7676,0.54302,,,,,,
TS1.2,C2,15,8,1,1.2,0.013,0.63591,0.75744,,,,,,
TS1.2,CND,15,7,1,1.1,0.011,0.70016,0.70827,,,,,,
TS1.2,GS1,15,12,1,1.9,0.02,0.40435,0.88678,,,,,,
TS1.2,I2,15,14,4,2.2,0.023,0.95951,0.14764,,,,,,
TS1.2,I3,15,8,2,1.2,0.013,0.8929,0.36409,,,,,,
TS1.2,O1,15,22,4,3.4,0.036,0.7675,0.46623,,,,,,
TS2,TS3,32,15,5,5,0.052,0.62485,0.60833,,,,,,
TS2,FS1,32,29,9,9.7,0.101,0.47294,0.706,,,,,,
TS2,FS1.1,32,15,8,5,0.052,0.97946,0.07049,,,,,,
TS2,FS1.2,32,18,8,6,0.062,0.91533,0.20115,,,,,,
TS2,FS1.3,32,4,1,1.3,0.014,0.59261,0.80873,,,,,,
TS2,FS1.4,32,5,4,1.7,0.017,0.99671,0.04095,,,,,,
TS2,FS2,32,27,10,9,0.094,0.7665,0.40071,,,,,,
TS2,FS2.1,32,30,16,10,0.104,0.99865,0.00554,,,,,,
TS2,FS3,32,25,9,8.3,0.087,0.72027,0.46201,,,,,,
TS2,FS4,32,10,2,3.3,0.035,0.28619,0.90844,,,,,,
TS2,FS5,32,35,17,11.7,0.122,0.99543,0.01534,,,,,,
TS2,FS5.1,32,21,11,7,0.073,0.98965,0.03533,,,,,,
TS2,FS5.2,32,8,2,2.7,0.028,0.46374,0.81671,,,,,,
TS2,FS6,32,21,8,7,0.073,0.78562,0.391,,,,,,
TS2,ND,32,9,4,3,0.031,0.86642,0.34505,,,,,,
TS2,SS1,32,11,2,3.7,0.038,0.21829,0.9366,,,,,,
TS2,SS2,32,11,2,3.7,0.038,0.21829,0.9366,,,,,,
TS2,SS3,32,7,3,2.3,0.024,0.83509,0.42931,,,,,,
TS2,FW1,32,50,19,16.7,0.174,0.89049,0.21369,,,,,,
TS2,FW2,32,5,3,1.7,0.017,0.95905,0.20454,,,,,,
TS2,FW3,32,16,4,5.3,0.056,0.32101,0.85732,,,,,,
TS2,FWND1,32,29,13,9.7,0.101,0.96344,0.09175,,,,,,
TS2,FWND2,32,45,16,15,0.156,0.74252,0.41368,,,,,,
TS2,FWND3,32,38,19,12.7,0.132,0.99873,0.00503,,,,,,
TS2,FWND4,32,7,2,2.3,0.024,0.57069,0.74659,,,,,,
TS2,FWND,32,6,4,2,0.021,0.98512,0.09308,,,,,,
TS2,T1,32,9,3,3,0.031,0.65495,0.63187,,,,,,
TS2,T2,32,49,22,16.3,0.17,0.9965,0.01217,,,,,,
TS2,T3,32,9,4,3,0.031,0.86642,0.34505,,,,,,
TS2,TND.1,32,3,1,1,0.01,0.74311,0.7084,,,,,,
TS2,TND2,32,3,1,1,0.01,0.74311,0.7084,,,,,,
TS2,TND,32,11,6,3.7,0.038,0.97009,0.10826,,,,,,
TS2,C1,32,5,4,1.7,0.017,0.99671,0.04095,,,,,,
TS2,C2,32,8,2,2.7,0.028,0.46374,0.81671,,,,,,
TS2,C3,32,5,1,1.7,0.017,0.45737,0.87526,,,,,,
TS2,CND,32,7,1,2.3,0.024,0.25341,0.94788,,,,,,
TS2,GS1,32,12,6,4,0.042,0.94613,0.16264,,,,,,
TS2,I1,32,4,3,1.3,0.014,0.98918,0.10638,,,,,,
TS2,I2,32,14,4,4.7,0.049,0.46939,0.75823,,,,,,
TS2,I3,32,8,3,2.7,0.028,0.74894,0.53626,,,,,,
TS2,I4,32,4,3,1.3,0.014,0.98918,0.10638,,,,,,
TS2,O1,32,22,9,7.3,0.076,0.86725,0.2709,,,,,,
TS2,O2,32,4,2,1.3,0.014,0.89362,0.40739,,,,,,
TS2,G1,32,5,2,1.7,0.017,0.79546,0.54263,,,,,,
TS2,G2,32,6,2,2,0.021,0.684,0.65594,,,,,,
TS2,G3,32,3,0,1,0.01,0.2916,1,,,,,,
TS3,FS1,15,29,5,4.5,0.047,0.72904,0.49609,,,,,,
TS3,FS1.1,15,15,4,2.3,0.024,0.94513,0.18138,,,,,,
TS3,FS1.2,15,18,7,2.8,0.029,0.99901,0.00669,,,,,,
TS3,FS2,15,27,4,4.2,0.044,0.58173,0.66295,,,,,,
TS3,FS2.1,15,30,4,4.7,0.049,0.4656,0.75941,,,,,,
TS3,FS3,15,25,5,3.9,0.041,0.84649,0.34104,,,,,,
TS3,FS4,15,10,4,1.6,0.016,0.99239,0.04688,,,,,,
TS3,FS5,15,35,8,5.5,0.057,0.95977,0.11873,,,,,,
TS3,FS5.1,15,21,4,3.3,0.034,0.80037,0.42373,,,,,,
TS3,FS5.2,15,8,3,1.2,0.013,0.98081,0.1071,,,,,,
TS3,FS6,15,21,5,3.3,0.034,0.92931,0.19963,,,,,,
TS3,ND,15,9,3,1.4,0.015,0.96883,0.14507,,,,,,
TS3,SS1,15,11,2,1.7,0.018,0.7676,0.54302,,,,,,
TS3,SS2,15,11,4,1.7,0.018,0.98737,0.06645,,,,,,
TS3,SS3,15,7,3,1.1,0.011,0.98938,0.07413,,,,,,
TS3,FW1,15,50,10,7.8,0.081,0.93616,0.17148,,,,,,
TS3,FW3,15,16,2,2.5,0.026,0.52427,0.76481,,,,,,
TS3,FWND1,15,29,3,4.5,0.047,0.27059,0.89692,,,,,,
TS3,FWND2,15,45,7,7,0.073,0.6052,0.6157,,,,,,
TS3,FWND3,15,38,7,5.9,0.062,0.81599,0.36893,,,,,,
TS3,FWND4,15,7,1,1.1,0.011,0.70016,0.70827,,,,,,
TS3,T1,15,9,3,1.4,0.015,0.96883,0.14507,,,,,,
TS3,T2,15,49,7,7.7,0.08,0.4646,0.74189,,,,,,
TS3,T3,15,9,0,1.4,0.015,0.20122,1,,,,,,
TS3,TND,15,11,3,1.7,0.018,0.93355,0.2324,,,,,,
TS3,C2,15,8,1,1.2,0.013,0.63591,0.75744,,,,,,
TS3,CND,15,7,0,1.1,0.011,0.29173,1,,,,,,
TS3,GS1,15,12,1,1.9,0.02,0.40435,0.88678,,,,,,
TS3,I2,15,14,4,2.2,0.023,0.95951,0.14764,,,,,,
TS3,I3,15,8,2,1.2,0.013,0.8929,0.36409,,,,,,
TS3,O1,15,22,5,3.4,0.036,0.91212,0.2325,,,,,,
