Site,TS1,TS1.1,TS1.2,TS2,TS3,FS1,FS1.1,FS1.2,FS1.3,FS1.4,FS1.5,FS1.6,FS2,FS2.1,FS3,FS4,FS5,FS5.1,FS5.2,FS6,ND,SS1,SS2,SS3,FW1,FW2,FW3,FW4,FWND1,FWND2,FWND3,FWND4,FWND,T1,T2,T3,T4,TND 1,TND2,TND3,TND4,TND,C1,C2,C3,CND,GS1,GS2,I1,I2,I3,I4,O1,O2,G1,G2,G3,G4,G5,G6
PM76,1370,,,,,1130,6330,,,,,,,,,,,,,,,,,,340,,,,,,590,,1052,,1245,,,,,,,,,,,,,,,,,,,,,,,,,
PM77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM78,24504,2330,,290,,6140,,,,534,,,,,70,,,,,430,,,,,844,,,,,,120,,,,573,,,,,,,,,,,,,,,91,,,,,,,,,,
PM79,7058,,,,,1290,,,,,,,,,,32,,,,990,,,,,400,,,,,563,760,,,,1141,212,,,,,,,,,,,,,82,,,,,,,,,,,
PM80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM82,4850,572,,160,,,,,,,,,,,,,,229,,,,,,,3140,,,,,,750,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,
PM85,240,,,1084,,490,,,,,,,,527,,,410,,,,,,,,1570,,,,513,,,,,,745,,,,,,,,,,,,,,,,,29,,,,,,,,
PM86,797,1087,,,,,810,,,,,,,,,,1663,,,,,,,,615,,,,,,1782,,,,660,,,,,,,,,,,158,,,,,,,83,,949,,,,,
PM87,1391,390,,,,,9456,,,,,,440,260,,,820,,,,,,,,390,,,,,120,,,,,650,,,,,,,,,,,,,,,,,,,,,,,176,,
PM88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM89,580,2370,,,,960,,,,,,,,,2722,,,,,,,2260,100,,,,3580,,90,,,173,,,,,,,,,,,,,,156,,,,,,,,,,,,,,
PM90,6811,,960,,,,,,,,,,,,,500,,840,,125,,,,,,,480,,160,684,1150,,,,801,274,,,,,,,,2713,,,167,,,,,,,,,249,,,,
PM91,,338,,,,,,,,,,,192,,50,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
PM92,,,,,,,,,,,,,,,1486,,,217,,,,3812,,,,,812,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,165,,250,,
PM93,4660,,2739,,,730,,,,,,,254,1550,440,,607,,,798,,,,,682,,438,,30,400,,,,,50,,,,,,,,,,,210,,,,,,,,,,,,,,
PM94,,,,2640,,,,,,,,,300,,,,470,,,,,,,,3910,,,,,3340,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
PM95,930,,,,,2330,,,,,,,,1010,,,520,,,,,,,40,2960,,486,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,
PM96,1260,,,,,,,,,,,,,390,,,,,,249,,,,,130,,,,,40,,,,,,,,,,,,,,,,,,,,,,,920,,,,,,,
PM97,,,,1401,,2470,,,,,,,,,,,2670,,,,,,,,5893,,,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,,
PM98,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM99,1270,,,6709,704,3590,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,
PM100,,,,4080,,,,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,
PM101,1395,390,,2340,,,,,,,,,880,2330,870,,4640,,,,,,,,3490,,,,770,1830,2040,,,,5950,,,,,,,50,,,,,,,,,,,,,,,,,,
PM102,14067,2580,,750,,,,3090,,1340,,,,3743,620,,903,,,,390,,,,16135,,,,842,1388,8490,,1170,,2244,,,,,,,40,,,,,,,,,,,629,,,,,,,
PM103,70,1040,,,,,,,,,,,,,1270,,,,,850,,524,31,,,,,,142,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,
PM104,2280,210,,,,,,,,,,,430,,120,,,,,690,380,,100,,,,,,1737,,,,,,,302,,,,,,,,,3110,180,250,,,13,,,,,,,975,,,
PM105,,1030,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,1580,,,,,,,,,,,30,,,2220,,,,,,,,,,,,865,,,
PM106,,,,,,,,,,,,,,2860,,,,1100,,,,312,363,,80,,,,,810,,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,
PM107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM108,3320,460,,2318,,,,,,,,,600,,,,,,,,,,,,,,,,320,,534,,,,80,,,,,,90,,7789,,,,955,,,,,,,,,,,,,
PM109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM110,3430,,1910,1470,,,740,,,,,,,2630,480,,1010,760,,,,,,,,,,,,140,,,240,,,,,,,,,320,,,,,,,,,,,330,,,,,,,
PM111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM112,1213,,,,,,2490,,,,,,,,,,,,130,81,,,,,,,,,595,,,,,,,,,,,,,113,,,,,,,,,,,57,160,,,,,,
PM113,,650,,2802,,,390,,,,,,,240,,,,,,200,,,,,,,,,,580,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,
PM114,6500,990,,2700,120,13460,480,,,,,,,,,,2120,,,110,,,,,798,1758,,,,1070,530,,,,680,,,605,,,,350,,,,,,,52,,,,246,,,,,,,
PM115,18426,,,490,,,,,,,,,,,340,,,440,,180,,,,,3480,,,4010,,,730,,1400,,881,,,,,,,,,,,,,,,,,,,,,,,,,
PM116,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,,,,,,,,,,,,,,,,,,,,,,661,,,,,,
PM117,2638,,,,,,,,,,,,,,,,,1160,,,,,,,,,,,,13,940,,,,,,,,,,,,,,,,,,,,62,,190,,,,,,,
PM118,4798,,1430,1040,,760,,,,,,,,,,,,,,,,,,,1150,,1250,,,,1030,,,,166,,,,,,,,,,,,,,,82,506,,,,,,,,,
PM119,2613,,,,,,,,,,,,,,1170,,,,,,,,50,,,,,,660,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM120,750,1410,,863,,,,,,,,,,1200,,,7530,430,,100,,,,,550,,415,,,1647,840,,,,1314,149,,,,,,,,,,,,,,,41,112,,,,,,,,
PM121,1450,,,,,,,,3330,,,,,,190,,,,,3260,,153,,,,1502,2390,,330,,,68,498,,410,,,1480,,,,,,497,,,251,,,49,39,13,,,,,,,,
PM122,855,,,,,,,,,,,,80,,,,,,,,,,156,,150,,,,,90,2546,,,,495,,,,,,,110,,,,,,,,,71,,,,,,,,,
PM123,1270,,,,,,,,,,,,,,280,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,
PM125,2328,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM126,290,,,170,,,,,,,,,,,,,,150,,,,,,,760,,,,,,100,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,
PM127,6170,,,,,5250,,,,,,,1230,1310,200,,,,,,,,,,390,,,,180,130,480,,,,264,,,,30,,,,,,,,,,,184,,,,,,,,,,
PM128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM129,971,3160,,,,870,,,,,,,,520,,414,,,61,,,,,,1300,,,,1580,670,,,,,1625,,,,,,,,,,,,,,,,,,,,,,,,,
PM130,1562,1630,,,,10050,110,10050,,,,13590,,4150,,,,,,,,,,,1750,,,,,520,,,,,2874,,,834,,,,,,1545,,,2221,,,86,,,930,,,,,,,
PM131,1370,,,,1740,,,1480,,,,,,250,1120,,,,,,,,,,650,,,,,340,120,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,
PM132,1454,,,,,,,,,2310,,,,,,135,520,410,,,,,,,388,,,,,538,,,,,20,,,,25,,,,,,,,,,,106,,,,,,,,,,
PM133,300,,,,,,2240,,,,,,551,,,,,,,,,,,,350,,,,,2920,260,,,,,,,,,,,,,,,,,,,13,,,330,,,,,,,
PM134,2640,,1350,,848,8670,950,,,,,,,430,,,,,,660,,,,,3246,,1220,,,881,,,,,1410,,,,,,,,,,,,,,,49,,,,,,,,,,
PM135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,230,,,,,,,,,,80,,,,,,31,,,,,,,,,735,
PM136,1400,,,6159,,,550,,,,,,,,,,720,980,,,,168,,,1062,,,,800,510,,,,,1233,,,,,,,,,,,,,,,100,,,243,,,,,,,
PM137,,1189,817,410,,,513,,,,,,,65,,,1430,,,80,,,,,2340,,,,,140,,,,,871,,,,,,,,,,,,,,,37,,,,,,,,,,
PM138,2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,,,,,,,
PM140,490,,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM142,600,,,,,6640,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
