slno,tofro,via,date,total,type
AI0047878,BOM Y BLR,,27-Feb-14,8659,Air
AI0048208,BLR y HYD,,26-Feb-14,4744,Air
AI0048211,BLR y HYD,,28-Feb-14,4881,Air
AI0048211,HYD y BLR,,28-Feb-14,4882,Air
AI0048212,BLR y BOM,,26-Feb-14,5069,Air
AI0048301,BLR Y DEL,,28-Feb-14,11996,Air
AI0048301,DEL Y BLR,,28-Feb-14,11996,Air
AI0048428,BLR y DEL,,28-Feb-14,10260,Air
AI0048428,DEL y BLR,,28-Feb-14,10261,Air
AI0048428,BLR y DEL,,28-Feb-14,10260,Air
AI0048428,DEL y BLR,,28-Feb-14,10261,Air
AI0048457,DEL n BLR,,28-Feb-14,14953,Air
AI0048458,BLR e DEL,,28-Feb-14,12151,Air
AI0048550,BOM y BLR,,28-Feb-14,5206,Air
AI0048625,HYD y BOM,,28-Feb-14,4704,Air
AI0048583,BLR Y BOM,,02-Mar-14,7234,Air
AI0048583,BOM Y BLR,,02-Mar-14,7235,Air
