slno,tofro,via,date,total,type
AI0017294,BOM Y BLR,,29-Jul-13,3042,Air
AI0017317,AMD o BLR,BOM,30-Jul-13,6122,Air
AI0017332,BLR Y BOM,,30-Jul-13,2959,Air
AI0017332,BOM Y BLR,,30-Jul-13,3023,Air
AI0017363,BLR Y AMD,,30-Jul-13,4814,Air
AI0017396,BLR Y BOM,,29-Jul-13,3129,Air
AI0017396,BOM Y BLR,,30-Jul-13,2994,Air
AI0017473,AMD Y BLR,,30-Jul-13,4731,Air
AI0017517,BOM Y BLR,,29-Jul-13,3073,Air
AI0017681,BLR Y BOM,,31-Jul-13,2950,Air
AI0017681,BOM Y BLR,,31-Jul-13,2951,Air
AI0017803,AMD y BLR,,30-Jul-13,8553,Air
AI0017812,BOM Y BLR,,30-Jul-13,3310,Air
AI0017868,BOM Y BLR,,31-Jul-13,2989,Air
AI0017869,BOM Y BLR,,31-Jul-13,4725,Air
AI0018091,DEL Y BLR,,08-Aug-13,6581,Air
AI0018174,BLR w BOM,,05-Aug-13,2858,Air
AI0018175,BLR w BOM,,05-Aug-13,2858,Air
AI0018177,BLR Y BOM,,12-Aug-13,3129,Air
AI0018177,BOM Y BLR,,12-Aug-13,2989,Air
AI0018522,BLR w SIN,,03-Aug-13,18987,Air
AI0018522,SIN w BLR,,03-Aug-13,18988,Air
AI0018521,BLR w SIN,,12-Aug-13,18893,Air
AI0018521,SIN w BLR,,12-Aug-13,18893,Air
AI0018500,BOM Y BLR,,05-Aug-13,4116,Air
AI0018526,BLR c BOM,,08-Aug-13,9735,Air
AI0018537,BOM Y BLR,,05-Aug-13,3310,Air
AI0018642,BLR Y DEL,,08-Aug-13,6669,Air
AI0019832,BOM v BLR,,08-Aug-13,6400,Air
AI0018730,CCU w BLR,,11-Aug-13,5269,Air
AI0018791,DEL Y BLR,,08-Aug-13,14013,Air
AI0018914,BLR w SYD,SIN,07-Aug-13,35250,Air
AI0018914,SYD w BLR,SIN,07-Aug-13,35250,Air
AI0018953,CCU Y BOM,,11-Aug-13,8157,Air
VI0001681,Business,,,8000,Visa
AI0019081,DXB w FRA,,17-Aug-13,0,Air
AI0019081,ZRH w HYD,DXB,10-Aug-13,43750,Air
AI0019081,HYD w DXB,DEL,10-Aug-13,43750,Air
AI0019159,BLR y BOM,,12-Aug-13,4851,Air
AI0019159,BOM y BLR,,12-Aug-13,4852,Air
AI0019182,BLR Y BOM,,12-Aug-13,2866,Air
AI0019204,BOM z YUL,CDG,13-Aug-13,71500,Air
AI0019204,YUL t CDG,JFK,13-Aug-13,71500,Air
AI0019204,CDG t BLR,,12-Oct-13,0,Air
AI0019241,BOM Y HYD,,11-Aug-13,18213,Air
AI0019242,BLR Y HYD,,11-Aug-13,4233,Air
AI0019242,HYD Y BLR,,12-Aug-13,3152,Air
AI0019243,HYD Y DEL,,13-Aug-13,5425,Air
AI0019244,BLR Y BOM,,11-Aug-13,5606,Air
AI0019361,HYD y BOM,,12-Aug-13,3814,Air
AI0019406,BLR w SIN,,13-Aug-13,1000,Air
AI0019406,SIN w BLR,,13-Aug-13,1000,Air
AI0019363,BLR y BOM,,12-Aug-13,4851,Air
AI0019363,BOM y BLR,,12-Aug-13,4852,Air
AI0019397,BOM Y BLR,,13-Aug-13,3953,Air
AI0019577,BLR Y BOM,,14-Aug-13,6160,Air
AI0019606,BOM y BLR,,15-Aug-13,4920,Air
AI0019649,BLR w BOM,,14-Aug-13,3015,Air
AI0019650,BOM w BLR,,14-Aug-13,3098,Air
AI0020110,HYD y BLR,,17-Aug-13,4020,Air
AI0020348,BOM Y BLR,,21-Aug-13,7434,Air
AI0020392,BLR t BOM,,20-Aug-13,4680,Air
AI0020687,BLR y BOM,,23-Aug-13,4785,Air
AI0020737,DEL y BOM,,21-Aug-13,6197,Air
AI0020738,BOM y BLR,,22-Aug-13,4920,Air
AI0020557,BLR h BOM,,21-Aug-13,7193,Air
AI0020558,BOM h BLR,,21-Aug-13,7276,Air
AI0020739,DEL y BOM,,21-Aug-13,6197,Air
AI0020692,BOM Y BLR,,21-Aug-13,6243,Air
AI0020985,BLR Y BOM,,08-Sep-13,2875,Air
AI0021089,BLR Y BOM,,27-Aug-13,4681,Air
AI0021089,BOM Y BLR,,29-Aug-13,3953,Air
AI0021399,BLR Y BOM,,29-Aug-13,4239,Air
AI0021399,BOM Y BLR,,30-Aug-13,4116,Air
AI0021436,BLR Y BOM,,28-Aug-13,3787,Air
AI0021437,BOM Y BLR,,28-Aug-13,5822,Air
AI0021625,BLR o BOM,,28-Aug-13,4238,Air
AI0021639,BLR v BOM,,28-Aug-13,6184,Air
AI0021639,BOM o BLR,,28-Aug-13,4346,Air
AI0021816,BLR y BOM,,29-Aug-13,4789,Air
AI0021816,BOM y BLR,,29-Aug-13,4789,Air
AI0021825,BLR u BOM,,28-Aug-13,5698,Air
AI0021640,BOM Y AMD,,29-Aug-13,3186,Air
AI0021817,BOM Y BLR,,29-Aug-13,5689,Air
AI0021857,BOM Y AMD,,30-Aug-13,2683,Air
AI0022072,AMD Y BLR,,30-Aug-13,4095,Air
AI0022073,HYD Y BLR,,30-Aug-13,5314,Air
AI0022099,BLR y HYD,,30-Aug-13,3706,Air
AI0022109,BLR y HYD,,30-Aug-13,3744,Air
AI0022108,DEL y BLR,,01-Sep-13,8185,Air
AI0022108,BLR y DEL,,01-Sep-13,8186,Air
AI0022183,BLR Y DEL,,09-Sep-13,6922,Air
AI0022247,BLR Y BOM,,05-Sep-13,3870,Air
AI0022247,BOM Y BLR,,05-Sep-13,3903,Air
AI0022260,HYD y BLR,,31-Aug-13,4020,Air
