CL,SCL,ORD,Fam,GEN,SP,REF,NEWREF,FAMLAB,GENLAB,SPLAB,COD,DISPCAT,DISP,MEGAFAUNA,AREA,HABIT,FRUIT,COLOR,COMPCOLOR,LENG,DIAM,FRFM,PDM,SDM,SEEDS,SEEDM,RY,KJG,KJFR,PCW,LIP,PRO,NSC,ASH,FIB,REFERENCE,,,Growth habit,Fruit type,Color,CompColor,Disperser type category,Disperser type,Area
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,canadensis1,19,36,CAPRIFOL,Sambucus,canad1,SCAN1,Birds,,No,NAmerica,,Berry1,,,4.5,,0.079,,,,,,17.33,,85.0,,0.075,,,,"Sherburne, J.A. (1972)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Viburnum,dentatum1,19,36,CAPRIFOL,Viburnum,dentat1,VDEN1,Birds,,No,NAmerica,,Drupe1,,,6.5,,0.089,,,1.0,,,16.58,,65.0,,0.065,,,,"Sherburne, J.A. (1972)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Lonicera,xylosteum,0,17,CAPRIFOL,Lonicera,xylosteu,LXYL,Birds,,No,NEurope,,Berry2,,,7.8,9.3,0.415,0.049,0.017,3.2,0.0050,11.7,16.45,0.80,84.5,0.030,0.021,0.797,0.061,0.092,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Lonicera,periclymenum,0,17,CAPRIFOL,Lonicera,periclym,LPER,Birds,,No,MEurope,,Berry2,,,7.9,6.8,0.180,0.030,0.022,3.9,0.0060,16.9,17.83,0.54,70.6,0.068,0.047,0.773,0.035,0.076,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Viburnum,dentatum2,76,26,CAPRIFOL,Viburnum,dentat2,VDEN2,Birds,,No,NAmerica,,Drupe1,,,,,,,,1.0,,,22.20,0.49,74.0,,0.042,0.915,0.037,,"Levey, D.J. and W.H. Karasov (1989)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,gaudichaudiana,70,14,CAPRIFOL,Sambucus,gaudicha,SGAU,Birds,,No,Australasia,,Berry1,,,,,0.086,0.008,0.005,3.2,0.0020,9.3,12.51,0.10,90.1,0.055,0.090,0.515,,,"French, K. (1991)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Lonicera,implexa,0,17,CAPRIFOL,Lonicera,implexa,LIMP,Birds,,No,MEurope,,Berry2,,,7.2,6.3,0.163,0.037,0.038,2.7,0.0140,22.5,16.45,0.60,54.3,0.019,0.033,0.816,0.055,0.085,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Lonicera,arborea,0,17,CAPRIFOL,Lonicera,arborea,LARB,Birds,,No,MEurope,,Berry2,,,7.6,8.0,0.287,0.066,0.022,2.2,0.0100,23.1,16.20,1.08,69.1,0.027,0.027,0.798,0.074,0.074,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,sp.2,3,46,CAPRIFOL,Sambucus,sp.2,SSP2,Birds,,No,NEurope,,Berry2,,,,,,1.000,1.688,,,11.6,17.20,17.19,68.8,0.087,0.080,0.690,0.064,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Lonicera,utahensis,41,33,CAPRIFOL,Lonicera,utahensi,LUTA,Birds,,No,NAmerica,,Berry2,,,,7.8,0.373,0.028,,2.1,,7.5,17.16,0.48,,0.048,0.023,0.885,0.044,0.029,"Piper, J.K. (1986)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,pubens,62,6,CAPRIFOL,Sambucus,pubens,SPUB,Birds,,No,NAmerica,,Drupe1,,,,4.0,,,,,,,,,89.0,,,,,,"Denslow, J.S. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Viburnum,opulus2,0,17,CAPRIFOL,Viburnum,opulus2,VOPU2,Birds,,No,NEurope,,Drupe1,,,10.2,8.9,,,,1.0,,,17.12,,77.6,0.042,0.010,0.828,0.036,0.084,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,racemosa,0,17,CAPRIFOL,Sambucus,racemosa,SRAC,Birds,,No,MEurope,,Berry1,,,6.3,5.5,0.103,0.008,0.009,3.0,0.0030,8.1,21.10,0.18,83.2,0.228,0.128,0.491,0.071,0.082,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Lonicera,tartarica,19,36,CAPRIFOL,Lonicera,tartaric,LTAR,Birds,,No,NAmerica,,Berry2,,,4.0,,0.389,,,,0.0230,,16.83,,92.0,,0.035,,,,"Sherburne, J.A. (1972)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,nigra,0,17,CAPRIFOL,Sambucus,nigra,SNIG,Birds,,No,MEurope,,Berry1,,,5.3,4.0,0.043,0.005,0.003,2.6,0.0010,10.4,16.95,0.07,81.6,0.033,0.180,0.528,0.055,0.205,"Herrera, C.M. (1987)",,,,,,,,,
