Date,Name,Type,Crop,Direction,Class,Pyf,Pys,Bel,Dyso,Ecc,CS,Lpoma,Pha,Pd,Pp,Unid,Poly,Can,Gob,Mal
28-01-2012,PN2,C,200,N,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
28-01-2012,PN2,C,200,N,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,S,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,S,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,S,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,S,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,E,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,E,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,E,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,E,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,W,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,W,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,W,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,AIL2,E,,Below,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
28-01-2012,ES1,E,,Below,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN6,C,100,Below,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN6,C,100,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN6,C,100,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN6,C,100,N,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28-01-2012,PN6,C,100,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN6,C,100,W,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28-01-2012,PN6,C,100,W,2,0,16,0,0,0,0,0,0,1,1,0,0,0,0,0
28-01-2012,PN6,C,100,W,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
28-01-2012,PN6,C,100,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,Below,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,E,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,E,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
28-01-2012,PN8,C,30,E,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN8,C,30,W,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28-01-2012,PN8,C,30,W,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28-01-2012,PN8,C,30,W,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
29-01-2012,PN9,C,300,Below,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,N,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29-01-2012,PN9,C,300,N,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,S,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
29-01-2012,PN9,C,300,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,E,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,E,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,E,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,E,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,PN9,C,300,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,Below,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,N,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,S,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,E,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,E,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,E,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,E,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,W,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
