Date,Group,Sex,Day,Time,Act,TRee,Part,Rate,Spent
05-01-2012,2,F,6,09:37,Re,NA,NA,NA,1
05-01-2012,2,F,6,09:38,Ot,NA,NA,NA,1
05-01-2012,2,F,6,09:39,Mo,NA,NA,NA,6
05-01-2012,2,F,6,09:45,Fe,DI,RF,5,15
05-01-2012,2,M,6,10:15,Re,NA,NA,NA,3
05-01-2012,2,M,6,10:18,Mo,NA,NA,NA,2
05-01-2012,2,M,6,10:20,Fe,BD,UF,3,4
05-01-2012,2,M,6,10:24,Mo,NA,NA,NA,1
05-01-2012,2,M,6,10:25,Fe,BD,UF,3,11
05-01-2012,2,M,6,10:36,Re,NA,NA,NA,3
05-01-2012,2,M,6,10:39,Fe,BD,UF,3,14
05-01-2012,2,M,6,10:53,Mo,NA,NA,NA,1
05-01-2012,2,M,6,10:54,Re,NA,NA,NA,2
05-01-2012,2,M,6,10:56,Mo,NA,NA,NA,1
05-01-2012,2,M,6,10:57,Re,NA,NA,NA,2
05-01-2012,2,M,6,10:59,Ot,NA,NA,NA,1
05-01-2012,2,M,6,11:00,Mo,NA,NA,NA,1
05-01-2012,2,M,6,11:01,Re,NA,NA,NA,5
05-01-2012,2,M,6,11:06,Fe,BK,ML,10,9
05-01-2012,2,F,6,11:20,Fe,BD,UF,2,17
05-01-2012,2,F,6,11:37,Re,NA,NA,NA,11
05-01-2012,2,F,6,11:48,Mo,NA,NA,NA,1
05-01-2012,2,F,6,11:49,Re,NA,NA,NA,1
05-01-2012,2,F,6,11:50,Fe,BD,UF,2,2
05-01-2012,2,F,6,11:52,Mo,NA,NA,NA,19
05-01-2012,2,F,6,12:11,Re,NA,NA,NA,7
05-01-2012,2,F,6,12:18,Ot,NA,NA,NA,2
05-01-2012,2,M,6,12:30,Re,NA,NA,NA,10
05-01-2012,2,M,6,12:40,Ot,NA,NA,NA,7
05-01-2012,2,M,6,12:47,Re,NA,NA,NA,17
05-01-2012,2,M,6,13:04,Mo,NA,NA,NA,1
05-01-2012,2,M,6,13:05,Ot,NA,NA,NA,1
05-01-2012,2,M,6,13:06,Mo,NA,NA,NA,1
05-01-2012,2,M,6,13:07,Re,NA,NA,NA,14
05-01-2012,2,M,6,13:21,Fe,Tita,Ml,NA,9
05-01-2012,2,M,6,13:30,Fe,Tita,Ml,NA,0
06-01-2012,2,M,7,08:00,Fe,BD,UF,3,6
06-01-2012,2,M,7,08:06,Mo,NA,NA,NA,1
06-01-2012,2,M,7,08:07,Fe,BD,UF,3,20
06-01-2012,2,M,7,08:27,Re,NA,NA,NA,3
06-01-2012,2,M,7,08:30,Mo,NA,NA,NA,1
