Individual,Individual from RTR,Sample ID,Method,Buffalo,Canis lupus familiaris,Caracal,Cattle,Chital,Duck,Gazelle,Gyps fulvus,Junlgefowl,Leopard,Mus musculus,Nilgai,Primate,Sambar,Slothbear,Wildpig
Unknown,NA,108,Metabarcoding,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,109,Metabarcoding,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0
Unknown,NA,111,Metabarcoding,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Unknown,NA,112,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,113,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,115,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,116,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Individual 13,NA,117,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
Unknown,NA,118,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,119,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Individual 18,T19,120,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,122,Metabarcoding,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0
Unknown,NA,123,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Individual 1,NA,124,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Unknown,NA,126,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Unknown,NA,127,Metabarcoding,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0
Individual 15,NA,128,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,129,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Individual 15,NA,130,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Individual 8,NA,131,Metabarcoding,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Unknown,NA,133,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,134,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Individual 1,NA,136,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,138,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
Unknown,NA,139,Metabarcoding,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,140,Metabarcoding,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
